id,system_id,item_name,description,order_index,created_at
1 ,EAI ,인사정보 동기화 여부 확인 ,"1. https://eai.ajias.co.kr/mint/view/main/index.jsp 
2. 모니터링 > 데이터트래킹  > 인터페이스ID (IF_IO_PPLSFI_244 / IF_IO_PPLIAM_320) > 조회 
- 정상으로 조회 되는지 확인  ",1 ,2026-01-14 0:16
2 ,IAS Sales ,CPU 사용률 95% 이상 사용여부 확인 ,,2 ,2026-01-14 0:16
3 ,IAS Sales ,메모리 사용률 95% 이상 사용여부 확인 ,"EAI HUB, DB서버는 업무처리 방식의 특이점으로 점검 대상에서 제외 ",3 ,2026-01-14 0:16
4 ,IAS Sales ,네트워크 트래픽 사용률 90% 이상 사용여부 확인 ,,4 ,2026-01-14 0:16
5 ,IAS Sales ,세금계산서 발송 확인 ,"마감 모니터링 계산서 승인번호 
유니포스트 데이터 입력 시 오류 : 079 I/F IIP 확인 호 미확인 비고 확인 ",5 ,2026-01-14 0:16
6 ,IAS Sales ,청구 전표 발행 확인 ,"마감 모니터링 청구 전표 발행 비고 확인 
- HB 전표 : 마감 모니터링 청구 전표 발행 비고 확인 
- RV 전표 : 082 I/F IIP 확인 ",6 ,2026-01-14 0:16
7 ,IAS Sales ,채권대시보드 데이터 생성 ,"주간데이터 : 매주 월요일 
월간데이터 : 매월 영업일 4일 오후 2시 ",7 ,2026-01-14 0:16
8 ,IAS Sales ,매출 데이터 확인 ,"영업일 기준 4일 : B&T, 산업장비 
영업일 기준 11일 : 로지스 
매출전송 쿼리 조회 ",8 ,2026-01-14 0:16
9 ,IAS Sales ,자산 - 재고 현황 - 상품 재고 현황 조회 ,"203 I/F를 통해 가져온 데이터를 목록으로 조회하는 화면으로, SAP 연동 기능 정상 작동 여부를 간단하게 점검 가능 ",9 ,2026-01-14 0:16
10 ,IAS Sales ,주문 - 렌탈 주문 - 렌탈 주문 목록 - 주문 일괄 변경 요청 조회 ,전일의 주문 대량변경처리 오류사항여부,10 ,2026-01-14 0:16
11 ,IAS Sales ,Scouter  전일 야간 오류사항 조회 ,전일 야간의 이슈사항이 있었는지 확인 ,11 ,2026-01-14 0:16
12 ,IAS Sales ,Dataflow 야간 오류사항 확인 ,,12 ,2026-01-14 0:16
13 ,그룹웨어 ,CPU 사용률 95% 이상 사용여부 확인 ,,13 ,2026-01-14 0:16
14 ,그룹웨어 ,메모리 사용률 95% 이상 사용여부 확인 ,DB서버는 업무처리 방식의 특이점으로 점검 대상에서 제외 ,14 ,2026-01-14 0:16
15 ,그룹웨어 ,네트워크 트래픽 사용률 90% 이상 사용여부 확인 ,,15 ,2026-01-14 0:16
16 ,그룹웨어 ,로그인 여부 및 페이지 조회 확인 ,,16 ,2026-01-14 0:16
17 ,렌탈ERP ,CPU 사용률 95% 이상 사용여부 확인 ,,17 ,2026-01-14 0:16
18 ,렌탈ERP ,메모리 사용률 95% 이상 사용여부 확인 ,DB서버는 업무처리 방식의 특이점으로 점검 대상에서 제외 ,18 ,2026-01-14 0:16
19 ,렌탈ERP ,네트워크 트래픽 사용률 90% 이상 사용여부 확인 ,,19 ,2026-01-14 0:16
20 ,렌탈ERP ,정상 로그인여부 확인 ,,20 ,2026-01-14 0:16
21 ,렌탈ERP ,"CJ PC지급시스템 메뉴조회 확인, 데이터 조회 ",,21 ,2026-01-14 0:16
22 ,렌탈ERP ,CJ 발주요청정보 정상 조회여부 확인 ,,22 ,2026-01-14 0:16
23 ,PRS ,CPU 사용률 95% 이상 사용여부 확인 ,,23 ,2026-01-14 0:16
24 ,PRS ,메모리 사용률 95% 이상 사용여부 확인 ,DB서버는 업무처리 방식의 특이점으로 점검 대상에서 제외 ,24 ,2026-01-14 0:16
25 ,PRS ,네트워크 트래픽 사용률 90% 이상 사용여부 확인 ,,25 ,2026-01-14 0:16
26 ,PRS ,전일 배치 오류여부 확인 ,"/* 전일 야간 배치작업 수행결과 확인 */
SELECT *
FROM	PRS.DBO.ERRO_LOG_PROC
ORDER BY INST_DATE DESC",26 ,2026-01-14 0:16
27 ,PRS ,정상 로그인여부 확인 ,,27 ,2026-01-14 0:16
28 ,PRS ,메인페이지 그래프 조회여부 확인 ,정상 데이터 조회 여부 확인 ,28 ,2026-01-14 0:16
29 ,SSO ,"통합인증로그인 확인 (SSO 로그인 수행, 관리자 페이지 로그인 실시) ",관리자 페이지 로그인은 정상 인경우에도 SSO 사용자 로그인 오류가 발생할 수 있기에 사용자 로그인 테스트 필수 ,29 ,2026-01-14 0:16
30 ,IAM ,"인사동기화(조직연동) 오류 확인 
조직관리->인사동기화 : 동기화 이력 정보 확인 ",,30 ,2026-01-14 0:16
31 ,IAM ,"프로비저닝 이력 관리 
조직관리->프로비전->조정->프로비전 조정 : 실패 이력 확인 ",실패이력 발생 시 프로비전 재실행 진행 ,31 ,2026-01-14 0:16
32 ,전국스카이시스템 ,CPU 사용률 95% 이상 사용여부 확인 ,,32 ,2026-01-14 0:16
33 ,전국스카이시스템 ,메모리 사용률 95% 이상 사용여부 확인 ,DB서버는 업무처리 방식의 특이점으로 점검 대상에서 제외 ,33 ,2026-01-14 0:16
34 ,전국스카이시스템 ,네트워크 트래픽 사용률 90% 이상 사용여부 확인 ,,34 ,2026-01-14 0:16
35 ,EDI ,정상 로그인여부 확인 ,,35 ,2026-01-14 0:16
36 ,EDI ,고객 인터페이스 오류여부 확인 ,이동정보 데이터 정상 수신여부 확인,36 ,2026-01-14 0:16
37 ,CIS ,정상 로그인정보 확인 ,,37 ,2026-01-14 0:16
38 ,CIS ,렌탈자산현황 _조회 ,정상 데이터 조회 여부 확인 ,38 ,2026-01-14 0:16
39 ,MRO ,로그인 여부 및 페이지 조회 확인 ,,39 ,2026-01-14 0:16
40 ,SRM ,로그인 여부 및 페이지 조회 확인 ,,40 ,2026-01-14 0:16
41 , e-Accounting ,로그인 여부 및 페이지 조회 확인 ,,41 ,2026-01-14 0:16
42 ,EMS ,로그인 여부 및 페이지 조회 확인 ,,42 ,2026-01-14 0:16
43 ,IAS-ERP ,로그인 여부 및 페이지 조회 확인 ,,43 ,2026-01-14 0:16
44 ,배차관리 모바일 ,로그인 여부 및 페이지 조회 확인 ,,44 ,2026-01-14 0:16
45 ,산업장비 AI 챗봇,페이지 조회 확인,,45 ,2026-01-14 0:16
46 ,산업장비 AI 챗봇,LLM 응답 여부 확인,질문 전송 후 화면 정상 렌더링 여부 확인,46 ,2026-01-14 0:16
47 ,산업장비 AI 챗봇,파일 정상 접근 및 조회 확인,"질문 전송 후 참고 문서 정상 렌더링 여부 확인, 일반 파일 열람 가능 여부 확인",47 ,2026-01-14 0:16
48 ,"(모바일)mPRS,mEDI",로그인 여부 및 페이지 조회 확인 ,,48 ,2026-01-14 0:16
49 ,"(모바일)mPRS,mEDI",데이터 정상조회 확인,,49 ,2026-01-14 0:16
50 ,(모바일)FMS,로그인 여부 및 페이지 조회 확인 ,,50 ,2026-01-14 0:16
51 ,(모바일)산업장비A/S,로그인 여부 및 페이지 조회 확인 ,,51 ,2026-01-14 0:16
